DRUG,CYP****,RELATION,SPECIES,DATABASE,REFERENCES,OTHER INTERACTIONS,DRUG INFO
Chlorpromazine , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Cinnarizin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cinnarizine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clenbuterol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clobetasol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clofibrate , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Clofibrate , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Clomifene , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Cocaine , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Colchicine , 1A1,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Colecalciferol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Colecalciferol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dactinomycin , 1A1,inhibitor ,rabbit ,SuperCYP,show reference,show interactions,show drug info
Dantrolene , 1A1,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Daunorubicin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Debrisoquine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Debrisoquine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Decamethrin , 1A1,substrate ,rat ,SuperCYP,show reference,show interactions,show drug info
Deferoxamine , 1A1,inhibitor ,mouse ,SuperCYP,show reference,show interactions,show drug info
Dexamethason , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Dexamethasone , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dicycloverin , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Dicycloverine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Diethylstilbestrol , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Diosmectite , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmectite , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmectite , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmin , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmin , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmin , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Diosmin , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Doxorubicin , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Dronabinol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Enoxacin , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Ergometrine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Erythromycin , 1A1,substrate ,,SuperCYP,show reference,show interactions,show drug info
Estradiol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Estradiol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Estriol , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Estriol , 1A1,inhibitor ,rainbow trout ,SuperCYP,show reference,show interactions,show drug info
Estrone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Estrone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Etacrynic acid , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ethanol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ethinylestradiol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluconazole , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Flunarizine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluorescein , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Flutamide , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvastatin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvastatin , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Fluvoxamine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
G-strophanthin , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Granisetron , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Granisetron , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Haloperidol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Histamine , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Ipriflavone , 1A1,substrate ,rat ,SuperCYP,show reference,show interactions,show drug info
Isoprenalin , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Isoprenaline , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Itraconazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ketoconazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ketoconazole , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ketoconazole , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Lansoprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Lentinan , 1A1,inhibitor ,mouse ,SuperCYP,show reference,show interactions,show drug info
Levothyroxine sodium , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Lindane , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Mebendazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Mecamylamine , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Melatonin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Menadione , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mercaptopurine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
"Mercury, metallic ", 1A1,inducer ,shark ,SuperCYP,show reference,show interactions,show drug info
Methoxsalen , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mibefradil , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mitobronitol , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Moracizine , 1A1,inhibitor ,mouse ,SuperCYP,show reference,show interactions,show drug info
Nicotine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrofurantoin , 1A1,substrate ,,SuperCYP,show reference,show interactions,show drug info
Nitroprusside , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Norfloxacin , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 1A1,substrate ,,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Oxaliplatin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenacetin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Pipamperone , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Prasterone , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Prasterone , 1A1,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Prazosin , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Primaquine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Primaquine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Procarbazine , 1A1,substrate ,rat ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propranolol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propylthiouracil , 1A1,inducer ,zebrafish ,SuperCYP,show reference,show interactions,show drug info
Pyridoxine (vit B6) , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Quassia , 1A1,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Quinidine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
raltegravir , 1A1,substrate ,,SuperCYP,show reference,show interactions,show drug info
retigabine , 1A1,substrate ,,SuperCYP,show reference,show interactions,show drug info
Retinol , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol (vit A) , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol (vit A) , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Riboflavin (vit B2) , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Riluzole , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Salicylamide , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Streptozocin , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Sulindac , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tamoxifen , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Testosterone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tetrabenazine , 1A1,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Thalidomide , 1A1,inducer ,,SuperCYP,show reference,show interactions,show drug info
Theophylline , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Theophylline , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tiabendazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Tiabendazole , 1A1,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ticlopidine , 1A1,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Tocainide , 1A1,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Toremifene , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Triclosan , 1A1,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Troglitazone , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Tryptophan , 1A1,inducer ,mouse ,SuperCYP,show reference,show interactions,show drug info
Zotepine , 1A1,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
  , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
, 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
, 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
2-(4-chlorphenoxy)-ethanol , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Acriflavinium chloride , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Albendazole , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Albendazole , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Albendazole , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Alitretinoin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Alosetron , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Aminogluthetimide , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Aminophenazone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Aminophylline , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Aminophylline , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amiodarone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amiodarone , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Amiodarone , 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Amitriptyline , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amitriptyline , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amitriptyline , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Amitriptyline , 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Amlodipine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Anagrelide , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Anastrozole , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Anastrozole , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Aprepitant , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Artemisinin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Artemisinin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ascorbic acid , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Ascorbic acid (vit C) , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Atropin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Atropine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Azelastine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Azelastine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Benoxaprofen , 1A2,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Benzydamine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Benzydamine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Bergapten , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Betacarotene , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Betacarotene , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Betaxolol , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Bortezomib , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Bortezomib , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Bromazepam , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Bromocriptine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Bupivacaine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Buprenorphine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Bupropion , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Caffeine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Caffeine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Caffeine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Caffeine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Capsaicin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Carbamazepine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carmustine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Carvedilol , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A2,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chinin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorothiazide , 1A2,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Chlorpromazine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorpromazine , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Chlorpromazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorpromazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorzoxazone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Chlorzoxazone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cimetidine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cimetidine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cinnarizin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cinnarizine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ciprofloxacin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ciprofloxacin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ciprofloxacin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cisapride , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Citalopram , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clarithromycin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clenbuterol , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clobetasol , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clomifene , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clomipramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clomipramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clopidogrel , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clotrimazole , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Clozapine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Cocaine , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Cyamemazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cyclobarbital , 1A2,inducer ,mouse ,SuperCYP,show reference,show interactions,show drug info
Cyclobenzaprine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cyclobenzaprine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Cypermethrin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dacarbazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dactinomycin , 1A2,inhibitor ,rabbit ,SuperCYP,show reference,show interactions,show drug info
Daunorubicin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Deanol , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Decamethrin , 1A2,substrate ,rat ,SuperCYP,show reference,show interactions,show drug info
Delavirdine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Delavirdine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Desipramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Desipramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Desloratadine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dexamethason , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Dexamethasone , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
Dexfenfluramine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dexfenfluramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dexfenfluramine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diazepam , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Diclofenac , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
Diethyltoluamide , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dihydralazine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Dihydralazine , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dihydralazine , 1A2,substrate ,rat ,SuperCYP,show reference,show interactions,show drug info
Dinoprostone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Disulfiram , 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Disulfiram , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
Domperidone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Domperidone , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Dopamine , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
Dopamine , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Doxepin , 1A2,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Doxepin , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
Doxorubicin , 1A2,inducer ,,SuperCYP,show reference,show interactions,show drug info
duloxetine , 1A2,substrate ,,SuperCYP,show reference,show interactions,show drug info
Efavirenz , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Enoxacin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Enoxacin , 1A2,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Enoxolone , 1A2,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
