Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Cyclosporine (USP), 2C8, inhibitor, Not Specified, KEGG, , , , 
Clarithromycin (JP17/USP/INN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Clarithromycin lactobionate, 2C8, inhibitor, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Fluvoxamine (INN), 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine maleate (JP17/USAN), 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Gemfibrozil (JAN/USP/INN), 2C8, inhibitor, Not Specified, KEGG, , , , Strong
Ketoconazole (JP17/USP), 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Itraconazole (JP17/USAN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Trimethoprim (JAN/USP/INN), 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Trimethoprim sulfate (USP), 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Trimethoprim lactate, 2C8, inhibitor, Not Specified, KEGG, , , , Weak
Montelukast (INN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Montelukast sodium (JP17/USAN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Deferasirox (JAN/USAN/INN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Teriflunomide (USAN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Telithromycin (JAN/USAN/INN), 2C8, inhibitor, Not Specified, KEGG, , , , 
Amiodarone (USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Amiodarone hydrochloride (JP17/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Benzbromarone (JP17/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Bucolome (JAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Capecitabine (JAN/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Carmofur (JP17/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 2C9, inhibitor, Not Specified, KEGG, , , , 
Choline fenofibrate (USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Co-Trimoxazole (BAN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Croconazole (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Croconazole hydrochloride (JP17), 2C9, inhibitor, Not Specified, KEGG, , , , 
Cyclosporine (USP), 2C9, inhibitor, Not Specified, KEGG, , , , 
Delavirdine (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Delavirdine mesylate (USAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Diosmin (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Disulfiram (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Doxifluridine (JP17/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Lovastatin (USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Fenofibrate (JAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Etravirine (JAN/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Fluconazole (JP17/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Fluorouracil (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Fluorouracil sodium salt, 2C9, inhibitor, Not Specified, KEGG, , , , 
Fluvastatin (INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Fluvastatin sodium (JAN/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine (INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Fluvoxamine maleate (JP17/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Isoconazole (USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Isoconazole nitrate (JAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Isoniazid (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Isoniazid calcium pyruvinate (JAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Isoniazid sodium methanesulfonate hydrate (JAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Isoniazid glucuronate sodium (JAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Lanoconazole (JAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Leflunomide (JAN/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Miconazole (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Miconazole nitrate (JP17/USP), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Metronidazole (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Metronidazole hydrochloride (USAN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Metronidazole phosphate (USAN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Metronidazole benzoate (USP), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Neticonazole hydrochloride (JAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Oxandrolone (JAN/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Moderate
Oxiconazole (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Oxiconazole nitrate (JAN/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Phenylbutazone (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Phenylbutazone calcium, 2C9, inhibitor, Not Specified, KEGG, , , , 
Phenylbutazone sodium, 2C9, inhibitor, Not Specified, KEGG, , , , 
Probenecid (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sertraline (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sertraline hydrochloride (JAN/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sulconazole (INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sulconazole nitrate (JAN/USP), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sulfinpyrazone (JAN/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Stiripentol (JAN/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sulfamethoxazole (JP17/USP/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Sulfaphenazole (JAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Teniposide (USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Tegafur (JP17/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Tigecycline (JAN/USAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Ticrynafen (USAN), 2C9, inhibitor, Not Specified, KEGG, , , , 
Voriconazole (JP17/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Zafirlukast (JAN/USAN/INN), 2C9, inhibitor, Not Specified, KEGG, , , , Weak
Allicin, 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Armodafinil (USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Carbamazepine (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Chloramphenicol (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol palmitate (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol sodium succinate (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol stearate, 2C19, inhibitor, Not Specified, KEGG, , , , 
Chloramphenicol succinate, 2C19, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine hydrochloride (USP), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Clarithromycin (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Clarithromycin lactobionate, 2C19, inhibitor, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Clopidogrel bisulfate (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Delavirdine (INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Delavirdine mesylate (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Desvenlafaxine (INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Desvenlafaxine succinate (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Dexlansoprazole (INN/USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin estolate (USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin ethylsuccinate (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin lactobionate (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stearate (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin acistrate (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin gluceptate (USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin propionate (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin salnacedin (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin thiocyanate, 2C19, inhibitor, Not Specified, KEGG, , , , 
Erythromycin stinoprate (INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Esomeprazole (INN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Esomeprazole magnesium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Esomeprazole sodium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Esomeprazole potassium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Esomeprazole strontium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Etravirine (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Felbamate (USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Fluconazole (JP17/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Fosfluconazole (JAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Fluoxetine (USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Fluoxetine hydrochloride (JAN/USP), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Fluvoxamine (INN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Fluvoxamine maleate (JP17/USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Grapefruit juice, 2C19, inhibitor, Not Specified, KEGG, , , , 
Somatropin (USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Indomethacin (USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Indometacin farnesil (JAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Indomethacin sodium (USP), 2C19, inhibitor, Not Specified, KEGG, , , , 
Ketoconazole (JP17/USP), 2C19, inhibitor, Not Specified, KEGG, , , , Weak
Lansoprazole (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Moclobemide (USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Modafinil (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Omeprazole (JP17/USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Omeprazole sodium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Omeprazole magnesium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Omeprazole sodium injection (JAN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Oxcarbazepine (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Pantoprazole (USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Pantoprazole sodium (USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Rabeprazole (INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Rabeprazole sodium (JP17/USAN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Ritonavir (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Roxithromycin (JP17/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Ticlopidine (INN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Ticlopidine hydrochloride (JP17/USAN), 2C19, inhibitor, Not Specified, KEGG, , , , Strong
Troleandomycin (USP/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Topiramate (JAN/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , 
Voriconazole (JP17/USAN/INN), 2C19, inhibitor, Not Specified, KEGG, , , , Moderate
Abiraterone acetate (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Amiodarone (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Bepridil (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Bepridil hydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Bupropion (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Bupropion hydrochloride (JAN/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Bupropion hydrobromide (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Celecoxib (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Chlorphenamine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpheniramine maleate (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpheniramine polistirex (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpromazine (USP/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpromazine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpromazine hibenzate (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpromazine phenolphthalinate (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Chlorpromazine tannate (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Cidoxepin hydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Cimetidine hydrochloride (USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Cinacalcet (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Cinacalcet hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Clemastine (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Clemastine fumarate (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Clobazam (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Clomipramine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Clomipramine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Cobicistat (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Cocaine (USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Cocaine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Dacomitinib (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Dacomitinib hydrate (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Desvenlafaxine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Desvenlafaxine succinate (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Dexchlorpheniramine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Dexchlorpheniramine maleate (USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diltiazem (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Diltiazem hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Diltiazem malate (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Diphenhydramine (JP17/INN) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diphenhydramine hydrochloride (JP17/USP) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diphenhydramine salicylate (JAN) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diphenhydramine tannate (JP17) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diphenhydramine laurylsulfate (JAN) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Diphenhydramine citrate (USP) Weak (in vivo), 2D6, inhibitor, Not Specified, KEGG, , , , 
Doxepin (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Doxepin hydrochloride (USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Doxorubicin (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Doxorubicin hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Duloxetine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Duloxetine hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Moderate
Echinacea, 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Escitalopram (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Escitalopram oxalate (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Fluoxetine (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Fluoxetine hydrochloride (JAN/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Febuxostat (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Gefitinib (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Halofantrine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Halofantrine hydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Hydralazine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Hydralazine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Hydralazine polistirex (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Hydroxychloroquine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Hydroxychloroquine sulfate (JAN/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Hydroxyzine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Hydroxyzine hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Hydroxyzine pamoate (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Imatinib (INN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Imatinib mesylate (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Labetalol (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Labetalol hydrochloride (JP17/USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Methotrimeprazine (USP), 2D6, inhibitor, Not Specified, KEGG, , , , 
Levomepromazine hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Levomepromazine maleate (JP17/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Levomethadone (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Levomethadone hydrochloride, 2D6, inhibitor, Not Specified, KEGG, , , , 
Lopinavir (JAN/USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Lorcaserin hydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Methadone (BAN), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Methadone hydrochloride (JAN/USP), 2D6, inhibitor, Not Specified, KEGG, , , , Weak
Metoclopramide (JP17/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Metoclopramide hydrochloride (JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Metoclopramide hydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Mibefradil (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Mibefradil dihydrochloride (USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Midodrine (INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Midodrine hydrochloride (JAN/USAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Mirabegron (USAN/JAN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Moclobemide (USAN/INN), 2D6, inhibitor, Not Specified, KEGG, , , , 
Paroxetine (USP/INN), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
Paroxetine hydrochloride hydrate (JP17), 2D6, inhibitor, Not Specified, KEGG, , , , Strong
