Name,Name,Actions,Species,Database
Valproic Acid, 2B6,substrate,Not Specified,DrugBank
Amitriptyline, 2B6,substrate,Not Specified,DrugBank
Methadone, 2B6,substrate,Not Specified,DrugBank
Clobazam, 2B6,substrate,Not Specified,DrugBank
Mexiletine, 2B6,substrate,Not Specified,DrugBank
Amlodipine, 2B6,inhibitor,Not Specified,DrugBank
Sorafenib, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Nitric Oxide, 2B6,inhibitor,Not Specified,DrugBank
Cerivastatin, 2B6,inducer,Not Specified,DrugBank
Pethidine, 2B6,substrate,Not Specified,DrugBank
Imipramine, 2B6,substrate,Not Specified,DrugBank
Fluoxetine, 2B6,substrate,Not Specified,DrugBank
Raloxifene, 2B6,inhibitor,Not Specified,DrugBank
Ritonavir, 2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank
Dextromethorphan, 2B6,substrate,Not Specified,DrugBank
Cisplatin, 2B6,inhibitor,Not Specified,DrugBank
Cyclophosphamide, 2B6,"substrate, inducer",Not Specified,DrugBank
Mephenytoin, 2B6,substrate,Not Specified,DrugBank
Carbamazepine, 2B6,inducer,Not Specified,DrugBank
Cinnarizine, 2B6,substrate,Not Specified,DrugBank
Diclofenac, 2B6,substrate,Not Specified,DrugBank
Cisapride, 2B6,substrate,Not Specified,DrugBank
Nicardipine, 2B6,inducer,Not Specified,DrugBank
Testosterone, 2B6,"substrate, inducer",Not Specified,DrugBank
Efavirenz, 2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank
Clofibrate, 2B6,inducer,Not Specified,DrugBank
Simvastatin, 2B6,inducer,Not Specified,DrugBank
Estrone, 2B6,substrate,Not Specified,DrugBank
Verapamil, 2B6,"substrate, inducer",Not Specified,DrugBank
Tamoxifen, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Midazolam, 2B6,substrate,Not Specified,DrugBank
Amprenavir, 2B6,inhibitor,Not Specified,DrugBank
Paroxetine, 2B6,inhibitor,Not Specified,DrugBank
Modafinil, 2B6,"inhibitor, inducer",Not Specified,DrugBank
Carbinoxamine, 2B6,substrate,Not Specified,DrugBank
Epinastine, 2B6,substrate,Not Specified,DrugBank
Isoflurane, 2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank
Tretinoin, 2B6,substrate,Not Specified,DrugBank
Clopidogrel, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Irinotecan, 2B6,substrate,Not Specified,DrugBank
Methimazole, 2B6,inhibitor,Not Specified,DrugBank
Malathion, 2B6,substrate,Not Specified,DrugBank
Roxithromycin, 2B6,inhibitor,Not Specified,DrugBank
Primidone, 2B6,inducer,Not Specified,DrugBank
Propofol, 2B6,substrate,Not Specified,DrugBank
Diazepam, 2B6,substrate,Not Specified,DrugBank
Brompheniramine, 2B6,substrate,Not Specified,DrugBank
Loperamide, 2B6,substrate,Not Specified,DrugBank
Methylphenobarbital, 2B6,substrate,Not Specified,DrugBank
Perphenazine, 2B6,substrate,Not Specified,DrugBank
Benzphetamine, 2B6,substrate,Not Specified,DrugBank
Ethanol, 2B6,inhibitor,Not Specified,DrugBank
Quinidine, 2B6,inhibitor,Not Specified,DrugBank
Azelastine, 2B6,inhibitor,Not Specified,DrugBank
Doxorubicin, 2B6,inhibitor,Not Specified,DrugBank
Ketoconazole, 2B6,inhibitor,Not Specified,DrugBank
Methoxyflurane, 2B6,substrate,Not Specified,DrugBank
Selegiline, 2B6,substrate,Not Specified,DrugBank
Memantine, 2B6,inhibitor,Not Specified,DrugBank
Rifampicin, 2B6,inducer,Not Specified,DrugBank
Promethazine, 2B6,substrate,Not Specified,DrugBank
Perhexiline, 2B6,substrate,Not Specified,DrugBank
Diphenhydramine, 2B6,substrate,Not Specified,DrugBank
Atorvastatin, 2B6,inducer,Not Specified,DrugBank
Fluvastatin, 2B6,inducer,Not Specified,DrugBank
Sertraline, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Miconazole, 2B6,inhibitor,Not Specified,DrugBank
Nifedipine, 2B6,inducer,Not Specified,DrugBank
Sulfinpyrazone, 2B6,inducer,Not Specified,DrugBank
Desipramine, 2B6,inhibitor,Not Specified,DrugBank
Bupropion, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Halothane, 2B6,substrate,Not Specified,DrugBank
Itraconazole, 2B6,inhibitor,Not Specified,DrugBank
Orphenadrine, 2B6,"inhibitor, inducer",Not Specified,DrugBank
Phenobarbital, 2B6,inducer,Not Specified,DrugBank
Ifosfamide, 2B6,substrate,Not Specified,DrugBank
Domperidone, 2B6,substrate,Not Specified,DrugBank
Ketamine, 2B6,substrate,Not Specified,DrugBank
Dexamethasone, 2B6,inducer,Not Specified,DrugBank
Sevoflurane, 2B6,substrate,Not Specified,DrugBank
Fosphenytoin, 2B6,inducer,Not Specified,DrugBank
Colchicine, 2B6,inhibitor,Not Specified,DrugBank
Antipyrine, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Ethylmorphine, 2B6,substrate,Not Specified,DrugBank
Ritonavir, 2B6,"substrate, inhibitor, inducer",Not Specified,DrugBank
Raloxifene, 2B6,inhibitor,Not Specified,DrugBank
Fluoxetine, 2B6,substrate,Not Specified,DrugBank
Imipramine, 2B6,substrate,Not Specified,DrugBank
Pethidine, 2B6,substrate,Not Specified,DrugBank
Cerivastatin, 2B6,inducer,Not Specified,DrugBank
Nitric Oxide, 2B6,inhibitor,Not Specified,DrugBank
Sorafenib, 2B6,"substrate, inhibitor",Not Specified,DrugBank
Amlodipine, 2B6,inhibitor,Not Specified,DrugBank
Mexiletine, 2B6,substrate,Not Specified,DrugBank
Clobazam, 2B6,substrate,Not Specified,DrugBank
Methadone, 2B6,substrate,Not Specified,DrugBank
Amitriptyline, 2B6,substrate,Not Specified,DrugBank
Valproic Acid, 2B6,substrate,Not Specified,DrugBank
Ropivacaine, 2B6,substrate,Not Specified,DrugBank
Venlafaxine, 2B6,inhibitor,Not Specified,DrugBank
Lidocaine, 2B6,substrate,Not Specified,DrugBank
Clotrimazole, 2B6,"inhibitor, inducer",Not Specified,DrugBank
Phenytoin, 2B6,inducer,Not Specified,DrugBank
Nevirapine, 2B6,"substrate, inducer",Not Specified,DrugBank
Temazepam, 2B6,substrate,Not Specified,DrugBank
Nelfinavir, 2B6,inhibitor,Not Specified,DrugBank
Citalopram, 2B6,inhibitor,Not Specified,DrugBank
Ticlopidine, 2B6,inhibitor,Not Specified,DrugBank
Erythromycin, 2B6,substrate,Not Specified,DrugBank
Troglitazone, 2B6,inducer,Not Specified,DrugBank
Tramadol, 2B6,substrate,Not Specified,DrugBank
Nicotine, 2B6,substrate,Not Specified,DrugBank
Fluvoxamine, 2B6,inhibitor,Not Specified,DrugBank
Cholecalciferol, 2B6,inhibitor,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name, 2C18,Actions,Not Specified,DrugBank
Pegvisomant, 2C18,inhibitor,Not Specified,DrugBank
Dapsone, 2C18,substrate,Not Specified,DrugBank
Phenytoin, 2C18,substrate,Not Specified,DrugBank
Lidocaine, 2C18,substrate,Not Specified,DrugBank
Valproic Acid, 2C18,inhibitor,Not Specified,DrugBank
Methadone, 2C18,substrate,Not Specified,DrugBank
Omeprazole, 2C18,substrate,Not Specified,DrugBank
Clobazam, 2C18,substrate,Not Specified,DrugBank
Lansoprazole, 2C18,substrate,Not Specified,DrugBank
Imipramine, 2C18,substrate,Not Specified,DrugBank
Cyclophosphamide, 2C18,substrate,Not Specified,DrugBank
Diclofenac, 2C18,substrate,Not Specified,DrugBank
Verapamil, 2C18,substrate,Not Specified,DrugBank
Warfarin, 2C18,substrate,Not Specified,DrugBank
Tretinoin, 2C18,substrate,Not Specified,DrugBank
Propofol, 2C18,substrate,Not Specified,DrugBank
Diazepam, 2C18,substrate,Not Specified,DrugBank
Perphenazine, 2C18,substrate,Not Specified,DrugBank
Buprenorphine, 2C18,substrate,Not Specified,DrugBank
Diphenhydramine, 2C18,substrate,Not Specified,DrugBank
Tolbutamide, 2C18,substrate,Not Specified,DrugBank
Desipramine, 2C18,substrate,Not Specified,DrugBank
Phenobarbital, 2C18,inducer,Not Specified,DrugBank
Ifosfamide, 2C18,substrate,Not Specified,DrugBank
Troleandomycin, 2C18,inhibitor,Not Specified,DrugBank
Aminophenazone, 2C18,substrate,Not Specified,DrugBank
Antipyrine, 2C18,substrate,Not Specified,DrugBank
Clotiazepam, 2C18,substrate,Not Specified,DrugBank
Vilazodone, 2C18,substrate,Not Specified,DrugBank
4-METHYL-N-METHYL-N-(2-PHENYL-2H-PYRAZOL-3-YL)BENZENESULFONAMIDE, 2C18,,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name, 3A7,Actions,Not Specified,DrugBank
Cyclosporine, 3A7,"substrate, inducer",Not Specified,DrugBank
Fluvoxamine, 3A7,inhibitor,Not Specified,DrugBank
Fluconazole, 3A7,inhibitor,Not Specified,DrugBank
Troglitazone, 3A7,"inhibitor, inducer",Not Specified,DrugBank
Erythromycin, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Caffeine, 3A7,substrate,Not Specified,DrugBank
Sildenafil, 3A7,substrate,Not Specified,DrugBank
Nelfinavir, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Indinavir, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Lovastatin, 3A7,substrate,Not Specified,DrugBank
Ziprasidone, 3A7,substrate,Not Specified,DrugBank
Dapsone, 3A7,substrate,Not Specified,DrugBank
Phenytoin, 3A7,inducer,Not Specified,DrugBank
Clotrimazole, 3A7,inducer,Not Specified,DrugBank
Lidocaine, 3A7,substrate,Not Specified,DrugBank
Codeine, 3A7,substrate,Not Specified,DrugBank
Methadone, 3A7,substrate,Not Specified,DrugBank
Terfenadine, 3A7,substrate,Not Specified,DrugBank
Diltiazem, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Amlodipine, 3A7,substrate,Not Specified,DrugBank
Progesterone, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Sorafenib, 3A7,substrate,Not Specified,DrugBank
Nisoldipine, 3A7,substrate,Not Specified,DrugBank
Alprazolam, 3A7,substrate,Not Specified,DrugBank
Zolpidem, 3A7,substrate,Not Specified,DrugBank
Cerivastatin, 3A7,substrate,Not Specified,DrugBank
Chloramphenicol, 3A7,inhibitor,Not Specified,DrugBank
Imipramine, 3A7,substrate,Not Specified,DrugBank
Quinine, 3A7,substrate,Not Specified,DrugBank
Buspirone, 3A7,substrate,Not Specified,DrugBank
Oxycodone, 3A7,substrate,Not Specified,DrugBank
Cimetidine, 3A7,inhibitor,Not Specified,DrugBank
Haloperidol, 3A7,substrate,Not Specified,DrugBank
Ritonavir, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Dextromethorphan, 3A7,substrate,Not Specified,DrugBank
Lercanidipine, 3A7,substrate,Not Specified,DrugBank
Cyclophosphamide, 3A7,substrate,Not Specified,DrugBank
Ciprofloxacin, 3A7,inhibitor,Not Specified,DrugBank
Vincristine, 3A7,substrate,Not Specified,DrugBank
Carbamazepine, 3A7,substrate,Not Specified,DrugBank
Propranolol, 3A7,substrate,Not Specified,DrugBank
Voriconazole, 3A7,inhibitor,Not Specified,DrugBank
Fluticasone Propionate, 3A7,substrate,Not Specified,DrugBank
Ethosuximide, 3A7,substrate,Not Specified,DrugBank
Cisapride, 3A7,substrate,Not Specified,DrugBank
Imatinib, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Testosterone, 3A7,substrate,Not Specified,DrugBank
Astemizole, 3A7,substrate,Not Specified,DrugBank
Simvastatin, 3A7,substrate,Not Specified,DrugBank
Dextropropoxyphene, 3A7,inducer,Not Specified,DrugBank
Trazodone, 3A7,substrate,Not Specified,DrugBank
Verapamil, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Aprepitant, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Tamoxifen, 3A7,substrate,Not Specified,DrugBank
Midazolam, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Eplerenone, 3A7,substrate,Not Specified,DrugBank
Delavirdine, 3A7,inhibitor,Not Specified,DrugBank
Norethindrone, 3A7,substrate,Not Specified,DrugBank
Nateglinide, 3A7,substrate,Not Specified,DrugBank
Risperidone, 3A7,substrate,Not Specified,DrugBank
Hydrocortisone, 3A7,substrate,Not Specified,DrugBank
Tretinoin, 3A7,substrate,Not Specified,DrugBank
Irinotecan, 3A7,substrate,Not Specified,DrugBank
Phenelzine, 3A7,inhibitor,Not Specified,DrugBank
Estradiol, 3A7,substrate,Not Specified,DrugBank
Alfentanil, 3A7,substrate,Not Specified,DrugBank
Fentanyl, 3A7,substrate,Not Specified,DrugBank
Diazepam, 3A7,substrate,Not Specified,DrugBank
Mifepristone, 3A7,inhibitor,Not Specified,DrugBank
Oxazepam, 3A7,substrate,Not Specified,DrugBank
Tacrolimus, 3A7,substrate,Not Specified,DrugBank
Sirolimus, 3A7,substrate,Not Specified,DrugBank
Triazolam, 3A7,substrate,Not Specified,DrugBank
Ondansetron, 3A7,substrate,Not Specified,DrugBank
Cocaine, 3A7,substrate,Not Specified,DrugBank
Quinidine, 3A7,substrate,Not Specified,DrugBank
Buprenorphine, 3A7,substrate,Not Specified,DrugBank
Salmeterol, 3A7,substrate,Not Specified,DrugBank
Zalcitabine, 3A7,substrate,Not Specified,DrugBank
Zaleplon, 3A7,substrate,Not Specified,DrugBank
Telithromycin, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Felodipine, 3A7,substrate,Not Specified,DrugBank
Ketoconazole, 3A7,inhibitor,Not Specified,DrugBank
Rifampicin, 3A7,inducer,Not Specified,DrugBank
Nitrendipine, 3A7,substrate,Not Specified,DrugBank
Praziquantel, 3A7,substrate,Not Specified,DrugBank
Norfloxacin, 3A7,inhibitor,Not Specified,DrugBank
Atorvastatin, 3A7,substrate,Not Specified,DrugBank
Pimozide, 3A7,substrate,Not Specified,DrugBank
Chlorphenamine, 3A7,substrate,Not Specified,DrugBank
Nifedipine, 3A7,substrate,Not Specified,DrugBank
Amiodarone, 3A7,inhibitor,Not Specified,DrugBank
Nefazodone, 3A7,inhibitor,Not Specified,DrugBank
Cilostazol, 3A7,substrate,Not Specified,DrugBank
Itraconazole, 3A7,inhibitor,Not Specified,DrugBank
Phenobarbital, 3A7,inducer,Not Specified,DrugBank
Ifosfamide, 3A7,substrate,Not Specified,DrugBank
Domperidone, 3A7,substrate,Not Specified,DrugBank
Rifapentine, 3A7,inducer,Not Specified,DrugBank
Clarithromycin, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Finasteride, 3A7,substrate,Not Specified,DrugBank
Quetiapine, 3A7,substrate,Not Specified,DrugBank
Levomethadyl Acetate, 3A7,substrate,Not Specified,DrugBank
Paclitaxel, 3A7,substrate,Not Specified,DrugBank
Saquinavir, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Dexamethasone, 3A7,"substrate, inducer",Not Specified,DrugBank
Aripiprazole, 3A7,substrate,Not Specified,DrugBank
Docetaxel, 3A7,substrate,Not Specified,DrugBank
Sunitinib, 3A7,substrate,Not Specified,DrugBank
Mibefradil, 3A7,inhibitor,Not Specified,DrugBank
Aminophenazone, 3A7,substrate,Not Specified,DrugBank
Ethylmorphine, 3A7,substrate,Not Specified,DrugBank
Dehydroepiandrosterone, 3A7,"substrate, inhibitor",Not Specified,DrugBank
Iloperidone, 3A7,substrate,Not Specified,DrugBank
dehydroepiandrosterone sulfate, 3A7,substrate,Not Specified,DrugBank
Temsirolimus, 3A7,substrate,Not Specified,DrugBank
Gestodene, 3A7,inhibitor,Not Specified,DrugBank
Seproxetine, 3A7,inhibitor,Not Specified,DrugBank
Daclatasvir, 3A7,substrate,Not Specified,DrugBank
,,,Not Specified,DrugBank
Name, 1A2,Actions,Not Specified,DrugBank
Insulin Regular, 1A2,inducer,Not Specified,DrugBank
Insulin Lispro, 1A2,inducer,Not Specified,DrugBank
Insulin Glargine, 1A2,inducer,Not Specified,DrugBank
"Insulin, porcine", 1A2,inducer,Not Specified,DrugBank
Menadione, 1A2,"substrate, inducer",Not Specified,DrugBank
Fluvoxamine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Nicotine, 1A2,"substrate, inducer",Not Specified,DrugBank
Bortezomib, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Phentermine, 1A2,inhibitor,Not Specified,DrugBank
Betaxolol, 1A2,substrate,Not Specified,DrugBank
Erythromycin, 1A2,inhibitor,Not Specified,DrugBank
Caffeine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Azithromycin, 1A2,inhibitor,Not Specified,DrugBank
Ticlopidine, 1A2,inhibitor,Not Specified,DrugBank
Pantoprazole, 1A2,"substrate, inducer",Not Specified,DrugBank
Citalopram, 1A2,inhibitor,Not Specified,DrugBank
Nelfinavir, 1A2,inhibitor,Not Specified,DrugBank
Nevirapine, 1A2,inhibitor,Not Specified,DrugBank
Ziprasidone, 1A2,substrate,Not Specified,DrugBank
Clotrimazole, 1A2,inhibitor,Not Specified,DrugBank
Anagrelide, 1A2,substrate,Not Specified,DrugBank
Carmustine, 1A2,substrate,Not Specified,DrugBank
Ropinirole, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Theophylline, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Lidocaine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Conjugated Estrogens, 1A2,substrate,Not Specified,DrugBank
Ropivacaine, 1A2,substrate,Not Specified,DrugBank
Bupivacaine, 1A2,substrate,Not Specified,DrugBank
Tenofovir, 1A2,inhibitor,Not Specified,DrugBank
Valproic Acid, 1A2,inhibitor,Not Specified,DrugBank
Zolmitriptan, 1A2,substrate,Not Specified,DrugBank
Acetaminophen, 1A2,substrate,Not Specified,DrugBank
Amitriptyline, 1A2,substrate,Not Specified,DrugBank
Nitroprusside, 1A2,inhibitor,Not Specified,DrugBank
Methadone, 1A2,substrate,Not Specified,DrugBank
Olanzapine, 1A2,substrate,Not Specified,DrugBank
Omeprazole, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Pyrazinamide, 1A2,substrate,Not Specified,DrugBank
Chlorzoxazone, 1A2,substrate,Not Specified,DrugBank
Aminoglutethimide, 1A2,inducer,Not Specified,DrugBank
Clozapine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Grepafloxacin, 1A2,substrate,Not Specified,DrugBank
Norepinephrine, 1A2,inhibitor,Not Specified,DrugBank
Mirtazapine, 1A2,substrate,Not Specified,DrugBank
Palonosetron, 1A2,substrate,Not Specified,DrugBank
Mexiletine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Amlodipine, 1A2,inhibitor,Not Specified,DrugBank
Tacrine, 1A2,substrate,Not Specified,DrugBank
Triamterene, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Phenylephrine, 1A2,inducer,Not Specified,DrugBank
Progesterone, 1A2,substrate,Not Specified,DrugBank
Phenylpropanolamine, 1A2,inhibitor,Not Specified,DrugBank
Sorafenib, 1A2,inhibitor,Not Specified,DrugBank
Griseofulvin, 1A2,inducer,Not Specified,DrugBank
Nisoldipine, 1A2,inhibitor,Not Specified,DrugBank
Rosiglitazone, 1A2,inhibitor,Not Specified,DrugBank
Secobarbital, 1A2,inducer,Not Specified,DrugBank
Promazine, 1A2,substrate,Not Specified,DrugBank
Zolpidem, 1A2,substrate,Not Specified,DrugBank
Streptozocin, 1A2,inducer,Not Specified,DrugBank
Nitric Oxide, 1A2,substrate,Not Specified,DrugBank
Lansoprazole, 1A2,inducer,Not Specified,DrugBank
Imipramine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Nabumetone, 1A2,substrate,Not Specified,DrugBank
Enoxacin, 1A2,inhibitor,Not Specified,DrugBank
Quinine, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Fluoxetine, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Duloxetine, 1A2,substrate,Not Specified,DrugBank
Chlorpromazine, 1A2,substrate,Not Specified,DrugBank
Pefloxacin, 1A2,inhibitor,Not Specified,DrugBank
Flutamide, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Cimetidine, 1A2,inhibitor,Not Specified,DrugBank
Haloperidol, 1A2,substrate,Not Specified,DrugBank
Ritonavir, 1A2,"substrate, inducer",Not Specified,DrugBank
Albendazole, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Alitretinoin, 1A2,inhibitor,Not Specified,DrugBank
Oxaliplatin, 1A2,substrate,Not Specified,DrugBank
Erlotinib, 1A2,substrate,Not Specified,DrugBank
Mephenytoin, 1A2,substrate,Not Specified,DrugBank
Rofecoxib, 1A2,"substrate, inhibitor",Not Specified,DrugBank
Ciprofloxacin, 1A2,inhibitor,Not Specified,DrugBank
Toremifene, 1A2,substrate,Not Specified,DrugBank
Nortriptyline, 1A2,substrate,Not Specified,DrugBank
Fluorouracil, 1A2,substrate,Not Specified,DrugBank
Zafirlukast, 1A2,inhibitor,Not Specified,DrugBank
Methoxsalen, 1A2,inhibitor,Not Specified,DrugBank
Carbamazepine, 1A2,"substrate, inhibitor, inducer",Not Specified,DrugBank
Cinnarizine, 1A2,substrate,Not Specified,DrugBank
